VERB,EMPLOI,IDX,Verbe freq.
émuler,Transitif,49,#N/A
encaisser,Transitif,49,#N/A
enchaîner,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
enchanter,Transitif - Autorise la forme pronominale,50,#N/A
enchérir,Intransitif - Transitif,41,#N/A
enclore,Transitif,49,#N/A
encourager,Fréquent - Transitif,24,#N/A
encourir,Transitif,49,#N/A
endommager,Transitif,49,#N/A
endormir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
enduire,Transitif,49,#N/A
endurer,Transitif,49,#N/A
énerver,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
enfermer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
enfiler,Transitif - Autorise la forme pronominale,50,#N/A
enflammer,Transitif - Autorise la forme pronominale,50,#N/A
enfler,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
enfoncer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2030
enfouir,Transitif - Autorise la forme pronominale,50,#N/A
enfreindre,Transitif,49,#N/A
s'enfuir,Fréquent - Autorise la forme pronominale,4,#N/A
engager,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
engendrer,Transitif,49,735
engloutir,Fréquent - Transitif - Autorise la forme pronominale,25,249
engueuler,Transitif - Autorise la forme pronominale,50,#N/A
enivrer,Transitif - Autorise la forme pronominale,50,#N/A
enjoindre,Transitif,49,#N/A
enlacer,Transitif - Autorise la forme pronominale,50,#N/A
enlever,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
ennoyer,Transitif,49,#N/A
ennuyer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
énoncer,Transitif - Autorise la forme pronominale,50,#N/A
s'enorgueillir,Autorise la forme pronominale,0,#N/A
énouer,Transitif,49,#N/A
s'enquérir,Autorise la forme pronominale,0,#N/A
enquêter,Intransitif,29,#N/A
enrayer,Transitif - Autorise la forme pronominale,50,#N/A
enregistrer,Fréquent - Transitif,24,#N/A
enrhumer,Transitif - Autorise la forme pronominale,50,#N/A
enrichir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
enseigner,Fréquent - Transitif,24,#N/A
ensevelir,Transitif - Autorise la forme pronominale,50,#N/A
ensorceler,Transitif,49,#N/A
s'ensuivre,Autorise la forme pronominale - Défectif - Impersonnel,1,#N/A
entacher,Transitif,49,#N/A
entamer,Transitif,49,457
entendre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,23591
enter,Transitif,49,#N/A
entériner,Transitif,49,#N/A
enterrer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
enthousiasmer,Transitif - Autorise la forme pronominale,50,#N/A
entourer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
entraîner,Fréquent - Transitif - Autorise la forme pronominale,25,2833
s'entre-haïr,Autorise la forme pronominale,0,#N/A
entreprendre,Fréquent - Transitif,24,1023
entrer,Intransitif - Transitif - Se conjugue avec l'auxiliaire être aux temps composés,46,11253
entretenir,Fréquent - Transitif - Autorise la forme pronominale,25,1747
entrevoir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
entrouvrir,Transitif - Autorise la forme pronominale,50,#N/A
énucléer,Transitif,49,#N/A
énumérer,Transitif,49,#N/A
envahir,Fréquent - Transitif,24,969
envelopper,Fréquent - Transitif,24,#N/A
envier,Transitif,49,#N/A
envisager,Transitif,49,#N/A
s'envoler,Autorise la forme pronominale,0,#N/A
envoyer,Fréquent - Transitif - Autorise la forme pronominale,25,4887
épaissir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
épandre,Transitif - Autorise la forme pronominale,50,#N/A
épanouir,Fréquent - Transitif - Autorise la forme pronominale,25,677
épargner,Fréquent - Transitif - Autorise la forme pronominale,25,603
épater,Transitif,49,#N/A
épeler,Transitif - Autorise la forme pronominale,50,104
épier,Intransitif - Transitif,41,477
épiner,Transitif,49,#N/A
éplucher,Transitif,49,#N/A
épouser,Fréquent - Transitif,24,1822
épousseter,Transitif,49,#N/A
s'éprendre,Autorise la forme pronominale,0,#N/A
éprouver,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
épuiser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
équiper,Transitif - Autorise la forme pronominale,50,#N/A
équivaloir,Intransitif,29,#N/A
errer,Fréquent - Intransitif,6,#N/A
escalader,Transitif,49,#N/A
espérer,Fréquent - Intransitif - Transitif,16,4720
essayer,Fréquent - Transitif - Autorise la forme pronominale,25,6108
essouffler,Transitif - Autorise la forme pronominale,50,#N/A
essuyer,Fréquent - Transitif - Autorise la forme pronominale,25,1043
ester,Intransitif - Défectif,33,#N/A
estimer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
établir,Fréquent - Transitif - Autorise la forme pronominale,25,2713
étaler,Fréquent - Transitif - Autorise la forme pronominale,25,1191
étayer,Transitif - Autorise la forme pronominale,50,121
éteindre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
étendre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
éternuer,Intransitif,29,114
étinceler,Intransitif,29,#N/A
étiqueter,Transitif,49,#N/A
étirer,Transitif - Autorise la forme pronominale,50,#N/A
étoffer,Transitif - Autorise la forme pronominale,50,#N/A
étonner,Fréquent - Transitif - Autorise la forme pronominale,25,4161
étouffer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1737
étourdir,Transitif - Autorise la forme pronominale,50,#N/A
être,Fréquent,3,960007
étrécir,Transitif,49,#N/A
étreindre,Transitif - Autorise la forme pronominale,50,#N/A
étrenner,Transitif,49,#N/A
étudier,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
évacuer,Transitif,49,200
s'évader,Autorise la forme pronominale,0,#N/A
évaluer,Transitif,49,#N/A
s'évanouir,Fréquent - Autorise la forme pronominale,4,#N/A
éveiller,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
éviter,Fréquent - Intransitif - Transitif,16,2695
évoluer,Intransitif,29,#N/A
évoquer,Transitif,49,#N/A
exagérer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,760
