VERB,TEMPLATE,S'EN,CAN BE PASSIVE,CAN BE FEMININ,PRONOMINAL ONLY,CAN BE PRONOMINAL,HAVE 2 FORMS OF CONJOUGATION,Fréquent,Transitif,Intransitif,pronominale,Impersonnel,*,Défectif,BE,Afrique,Québec,AVOIR,ÊTRE,DEFECTIVE,IMPERSONNEL,книжный,редкоупотребимый,устаревший,слэнг,GROUP No,Règle IDX,
,,,,,,,,is_frequent,is_transitive,is_intransitive,is_pronominal,,aspirate_h,,belgium,africa,canada,conjugated_with_avoir,conjugated_with_etre,is_defective,is_impersonal,book,is_rare,is_archaique,is_slang,group_no,,
administrer,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,3
admirer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
admonester,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
adonner,aim:er,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,1,,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,1,114,1
adopter,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
adorer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
adosser,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
adouber,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,1,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
adresser,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,3
adsorber,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
aduler,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affabuler,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affairer,aim:er,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,1,,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,1,114,1
affaisser,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,3
affaler,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
affamer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affecter,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affectionner,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affermer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
afficher,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
