humecter,s'humecter
humilier,s'humilier
hybrider,s'hybrider
hydrater,s'hydrater
hypertrophier,s'hypertrophier
hypnotiser,s'hypnotiser
idéaliser,s'idéaliser
identifier,s'identifier
idolâtrer,s'idolâtrer
ignorer,s'ignorer
illuminer,s'illuminer
illusionner,s'illusionner
illustrer,s'illustrer
imaginer,s'imaginer
imbiber,s'imbiber
imbriquer,s'imbriquer
immatérialiser,s'immatérialiser
immerger,s'immerger
immiscer,s'immiscer
immobiliser,s'immobiliser
immoler,s'immoler
immortaliser,s'immortaliser
immuniser,s'immuniser
impatienter,s'impatienter
impatroniser,s'impatroniser
implanter,s'implanter
impliquer,s'impliquer
imposer,s'imposer
imprégner,s'imprégner
imprimer,s'imprimer
improviser,s'improviser
