Группа,Прямая форма,Возвратная форма
I,empiler,s'empiler
I,empirer,s'empirer
I,emplafonner,s'emplafonner
I,employer,s'employer
I,empoigner,s'empoigner
I,empoisonner,s'empoisonner
I,emporter,s'emporter
I,empourprer,s'empourprer
I,empoussiérer,s'empoussiérer
I,empresser,s'empresser
I,enamourer,s'enamourer
I,énamourer,s'énamourer
I,encadrer,s'encadrer
I,encanailler,s'encanailler
I,encapuchonner,s'encapuchonner
I,encasteler,s'encasteler
I,encastrer,s'encastrer
I,enchaîner,s'enchaîner
I,enchanter,s'enchanter
I,enchâsser,s'enchâsser
I,enchevêtrer,s'enchevêtrer
I,enclaver,s'enclaver
I,enclencher,s'enclencher
I,encombrer,s'encombrer
I,encorder,s'encorder
I,encrasser,s'encrasser
I,encroumer,s'encroumer
I,encroûter,s'encroûter
I,endetter,s'endetter
I,endimancher,s'endimancher
I,énerver,s'énerver
I,enfermer,s'enfermer
I,enferrer,s'enferrer
I,enfiévrer,s'enfiévrer
I,enfiler,s'enfiler
I,enfler,s'enfler
I,enflammer,s'enflammer
I,enfoirer,s'enfoirer
I,enfoncer,s'enfoncer
I,enfourner,s'enfourner
I,enfumer,s'enfumer
I,engager,s'engager
I,engluer,s'engluer
I,engorger,s'engorger
I,engouer,s'engouer
I,engouffrer,s'engouffrer
I,engrener,s'engrener
I,engraisser,s'engraisser
I,engrumeler,s'engrumeler
I,engueuler,s'engueuler
I,enivrer,s'enivrer
I,enjoliver,s'enjoliver
I,enkyster,s'enkyster
I,enlever,s'enlever
I,enlacer,s'enlacer
I,enliser,s'enliser
I,ennuyer,s'ennuyer
I,ennuager,s'ennuager
I,énoncer,s'énoncer
I,enquêter,s'enquêter
I,enquiquiner,s'enquiquiner
I,enrayer,s'enrayer
I,enraciner,s'enraciner
I,enregistrer,s'enregistrer
I,enrhumer,s'enrhumer
I,enrôler,s'enrôler
I,enrouer,s'enrouer
I,enrouiller,s'enrouiller
I,enrouler,s'enrouler
I,ensabler,s'ensabler
I,ensauver,s'ensauver
I,enseigner,s'enseigner
I,entabler,s'entabler
I,entailler,s'entailler
I,entartrer,s'entartrer
I,entasser,s'entasser
I,enténébrer,s'enténébrer
I,enterrer,s'enterrer
I,entêter,s'entêter
I,enthousiasmer,s'enthousiasmer
I,enticher,s'enticher
I,entifler,s'entifler
I,entortiller,s'entortiller
I,entourer,s'entourer
I,entraccorder,s'entraccorder
I,entraccuser,s'entraccuser
I,entradmirer,s'entradmirer
I,entraider,s'entraider
I,entraimer,s'entraimer
I,entraîner,s'entraîner
I,entre-déchirer,s'entre-déchirer
I,entre-dévorer,s'entre-dévorer
I,entre-donner,s'entre-donner
I,entre-égorger,s'entre-égorger
I,entre-frapper,s'entre-frapper
I,entre-heurter,s'entre-heurter
I,entre-louer,s'entre-louer
I,entre-manger,s'entre-manger
I,entre-regarder,s'entre-regarder
I,entre-tuer,s'entre-tuer
I,entrebâiller,s'entrebâiller
I,entrechoquer,s'entrechoquer
I,entrecouper,s'entrecouper
I,entrecroiser,s'entrecroiser
I,entrelacer,s'entrelacer
I,entremanger,s'entremanger
I,entremêler,s'entremêler
I,entreregarder,s'entreregarder
I,entretailler,s'entretailler
I,entretuer,s'entretuer
I,envoyer,s'envoyer
I,envaser,s'envaser
I,envelopper,s'envelopper
I,envenimer,s'envenimer
I,environner,s'environner
I,envoiler,s'envoiler
I,envoler,s'envoler
I,épeler,s'épeler
I,épier,s'épier
I,épancher,s'épancher
I,épargner,s'épargner
I,éparpiller,s'éparpiller
I,épauler,s'épauler
I,épiler,s'épiler
I,épivarder,s'épivarder
I,éployer,s'éployer
I,éponger,s'éponger
I,épouffer,s'épouffer
I,épouiller,s'épouiller
I,époumoner,s'époumoner
I,épouser,s'épouser
I,épouvanter,s'épouvanter
I,éprouver,s'éprouver
I,épucer,s'épucer
I,épuiser,s'épuiser
I,épurer,s'épurer
I,équilibrer,s'équilibrer
